0=Reserved
94=Sri Lanka (Democratic Socialist Republic of)
95=Myanmar (Union of)
960=Maldives (Republic of)
961=Lebanon
962=Jordan (Hashemite Kingdom of)
963=Syrian Arab Republic
964=Iraq (Republic of)
965=Kuwait (State of)
966=Saudi Arabia (Kingdom of)
967=Yemen (Republic of)
968=Oman (Sultanate of)
969=Reserved - reservation currently under investigation
970=Reserved
971=United Arab Emirates
972=Israel (State of)
973=Bahrain (Kingdom of)
974=Qatar (State of)
975=Bhutan (Kingdom of)
976=Mongolia
977=Nepal
978=Spare code
979=International Premium Rate Service (IPRS)
98=Iran (Islamic Republic of)
990=Spare code
991=Trial of a proposed new international telecommunication public correspondence service, shared code
992=Tajikistan (Republic of)
993=Turkmenistan
994=Azerbaijani Republic
995=Georgia
996=Kyrgyz Republic
997=Spare code
998=Uzbekistan (Republic of)
999=Reserved for possible future use within the Telecommunications for Disaster Relief (TDR) concept
